"Label (Grouping)","Iowa!!Occupied housing units!!Estimate","Iowa!!Occupied housing units!!Margin of Error","Iowa!!Percent occupied housing units!!Estimate","Iowa!!Percent occupied housing units!!Margin of Error","Iowa!!Owner-occupied housing units!!Estimate","Iowa!!Owner-occupied housing units!!Margin of Error","Iowa!!Percent owner-occupied housing units!!Estimate","Iowa!!Percent owner-occupied housing units!!Margin of Error","Iowa!!Renter-occupied housing units!!Estimate","Iowa!!Renter-occupied housing units!!Margin of Error","Iowa!!Percent renter-occupied housing units!!Estimate","Iowa!!Percent renter-occupied housing units!!Margin of Error","Minnesota!!Occupied housing units!!Estimate","Minnesota!!Occupied housing units!!Margin of Error","Minnesota!!Percent occupied housing units!!Estimate","Minnesota!!Percent occupied housing units!!Margin of Error","Minnesota!!Owner-occupied housing units!!Estimate","Minnesota!!Owner-occupied housing units!!Margin of Error","Minnesota!!Percent owner-occupied housing units!!Estimate","Minnesota!!Percent owner-occupied housing units!!Margin of Error","Minnesota!!Renter-occupied housing units!!Estimate","Minnesota!!Renter-occupied housing units!!Margin of Error","Minnesota!!Percent renter-occupied housing units!!Estimate","Minnesota!!Percent renter-occupied housing units!!Margin of Error","Nebraska!!Occupied housing units!!Estimate","Nebraska!!Occupied housing units!!Margin of Error","Nebraska!!Percent occupied housing units!!Estimate","Nebraska!!Percent occupied housing units!!Margin of Error","Nebraska!!Owner-occupied housing units!!Estimate","Nebraska!!Owner-occupied housing units!!Margin of Error","Nebraska!!Percent owner-occupied housing units!!Estimate","Nebraska!!Percent owner-occupied housing units!!Margin of Error","Nebraska!!Renter-occupied housing units!!Estimate","Nebraska!!Renter-occupied housing units!!Margin of Error","Nebraska!!Percent renter-occupied housing units!!Estimate","Nebraska!!Percent renter-occupied housing units!!Margin of Error","North Dakota!!Occupied housing units!!Estimate","North Dakota!!Occupied housing units!!Margin of Error","North Dakota!!Percent occupied housing units!!Estimate","North Dakota!!Percent occupied housing units!!Margin of Error","North Dakota!!Owner-occupied housing units!!Estimate","North Dakota!!Owner-occupied housing units!!Margin of Error","North Dakota!!Percent owner-occupied housing units!!Estimate","North Dakota!!Percent owner-occupied housing units!!Margin of Error","North Dakota!!Renter-occupied housing units!!Estimate","North Dakota!!Renter-occupied housing units!!Margin of Error","North Dakota!!Percent renter-occupied housing units!!Estimate","North Dakota!!Percent renter-occupied housing units!!Margin of Error","South Dakota!!Occupied housing units!!Estimate","South Dakota!!Occupied housing units!!Margin of Error","South Dakota!!Percent occupied housing units!!Estimate","South Dakota!!Percent occupied housing units!!Margin of Error","South Dakota!!Owner-occupied housing units!!Estimate","South Dakota!!Owner-occupied housing units!!Margin of Error","South Dakota!!Percent owner-occupied housing units!!Estimate","South Dakota!!Percent owner-occupied housing units!!Margin of Error","South Dakota!!Renter-occupied housing units!!Estimate","South Dakota!!Renter-occupied housing units!!Margin of Error","South Dakota!!Percent renter-occupied housing units!!Estimate","South Dakota!!Percent renter-occupied housing units!!Margin of Error"
"        $75,000 to $99,999","188,967","±6,970","14.1%","±0.5","146,857","±5,945","15.3%","±0.6","42,110","±3,559","11.2%","±0.9","328,773","±7,988","14.0%","±0.3","247,308","±6,503","14.7%","±0.4","81,465","±4,914","12.4%","±0.7","113,572","±4,602","14.0%","±0.6","81,441","±4,060","15.1%","±0.8","32,131","±2,660","11.7%","±1.0","47,389","±3,365","14.0%","±1.0","33,690","±2,776","15.6%","±1.2","13,699","±2,409","11.2%","±1.9","52,118","±3,500","13.8%","±0.9","39,109","±2,954","14.9%","±1.1","13,009","±2,028","11.2%","±1.7"
"        $100,000 to $149,999","238,290","±7,375","17.8%","±0.5","207,476","±6,537","21.6%","±0.7","30,814","±3,447","8.2%","±0.8","454,379","±9,732","19.4%","±0.4","374,770","±8,386","22.2%","±0.5","79,609","±5,298","12.1%","±0.8","148,787","±5,075","18.3%","±0.6","122,579","±4,666","22.7%","±0.8","26,208","±2,293","9.6%","±0.8","64,822","±3,799","19.2%","±1.1","52,411","±3,216","24.3%","±1.4","12,411","±2,401","10.1%","±1.9","70,256","±3,917","18.6%","±1.0","60,522","±3,530","23.0%","±1.2","9,734","±1,542","8.4%","±1.4"
"        $150,000 or more","210,978","±6,116","15.8%","±0.4","198,281","±5,880","20.7%","±0.6","12,697","±2,123","3.4%","±0.6","532,702","±8,873","22.7%","±0.4","490,162","±8,347","29.0%","±0.5","42,540","±3,832","6.5%","±0.6","142,693","±4,477","17.5%","±0.6","131,176","±4,357","24.3%","±0.8","11,517","±1,794","4.2%","±0.6","60,419","±3,077","17.9%","±0.9","53,686","±2,722","24.9%","±1.2","6,733","±1,680","5.5%","±1.3","58,322","±3,100","15.4%","±0.8","53,654","±2,950","20.4%","±1.1","4,668","±1,154","4.0%","±1.0"
"        Median household income (dollars)","71,433","±1,135","71,433","±1,135","86,520","±1,157","86,520","±1,157","41,557","±953","41,557","±953","85,086","±768","85,086","±768","102,079","±866","102,079","±866","50,345","±819","50,345","±819","74,590","±1,340","74,590","±1,340","94,687","±1,487","94,687","±1,487","46,259","±1,423","46,259","±1,423","76,525","±1,844","76,525","±1,844","98,769","±2,709","98,769","±2,709","46,907","±2,789","46,907","±2,789","71,810","±2,132","71,810","±2,132","89,645","±2,405","89,645","±2,405","41,661","±1,827","41,661","±1,827"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","36,107","±2,587","2.7%","±0.2","26,778","±2,291","2.8%","±0.2","9,329","±1,317","2.5%","±0.4","56,416","±3,391","2.4%","±0.1","34,624","±2,701","2.1%","±0.2","21,792","±2,501","3.3%","±0.4","20,804","±1,965","2.6%","±0.2","15,138","±1,676","2.8%","±0.3","5,666","±1,143","2.1%","±0.4","13,540","±1,893","4.0%","±0.6","9,820","±1,347","4.6%","±0.6","3,720","±1,400","3.0%","±1.1","14,650","±1,961","3.9%","±0.5","10,278","±1,424","3.9%","±0.5","4,372","±1,110","3.8%","±1.0"
"        $300 to $499","127,356","±4,933","9.5%","±0.4","106,035","±4,055","11.0%","±0.4","21,321","±2,367","5.6%","±0.6","143,162","±4,867","6.1%","±0.2","113,254","±4,210","6.7%","±0.2","29,908","±2,596","4.6%","±0.4","58,389","±3,136","7.2%","±0.4","43,501","±2,795","8.1%","±0.5","14,888","±1,970","5.4%","±0.7","33,603","±1,955","9.9%","±0.6","27,091","±1,937","12.6%","±0.9","6,512","±1,057","5.3%","±0.9","38,128","±3,151","10.1%","±0.8","30,670","±2,869","11.7%","±1.1","7,458","±1,413","6.4%","±1.2"
"        $500 to $799","289,645","±7,035","21.7%","±0.5","202,860","±5,533","21.1%","±0.5","86,785","±4,592","23.0%","±1.2","342,109","±8,259","14.6%","±0.3","275,661","±6,907","16.3%","±0.4","66,448","±4,084","10.1%","±0.6","150,442","±6,012","18.5%","±0.7","100,653","±4,028","18.7%","±0.7","49,789","±4,320","18.1%","±1.5","76,205","±3,494","22.5%","±1.1","45,678","±2,682","21.2%","±1.2","30,527","±2,709","24.9%","±2.1","81,964","±4,077","21.7%","±1.1","54,258","±3,316","20.7%","±1.2","27,706","±2,676","23.9%","±2.1"
"        $800 to $999","195,104","±6,308","14.6%","±0.5","114,119","±4,662","11.9%","±0.5","80,985","±4,690","21.5%","±1.2","233,027","±6,021","9.9%","±0.3","154,597","±5,351","9.2%","±0.3","78,430","±4,701","11.9%","±0.7","105,091","±5,613","12.9%","±0.7","54,837","±3,265","10.2%","±0.6","50,254","±4,180","18.3%","±1.5","48,597","±3,816","14.4%","±1.1","20,786","±2,041","9.7%","±0.9","27,811","±3,263","22.7%","±2.4","52,524","±3,608","13.9%","±0.9","27,829","±2,688","10.6%","±1.0","24,695","±2,454","21.3%","±2.1"
"        $1,000 to $1,499","328,742","±7,884","24.6%","±0.6","219,246","±6,962","22.8%","±0.7","109,496","±6,128","29.0%","±1.3","519,267","±10,451","22.1%","±0.4","312,612","±7,343","18.5%","±0.4","206,655","±8,240","31.5%","±1.1","205,574","±6,445","25.3%","±0.8","119,841","±4,623","22.2%","±0.8","85,733","±5,594","31.3%","±1.9","74,216","±4,305","22.0%","±1.2","39,308","±2,767","18.3%","±1.2","34,908","±3,864","28.5%","±3.0","83,757","±4,431","22.1%","±1.2","52,373","±3,523","19.9%","±1.3","31,384","±3,165","27.1%","±2.4"
