"Label (Grouping)","Iowa!!Occupied housing units!!Estimate","Iowa!!Occupied housing units!!Margin of Error","Iowa!!Percent occupied housing units!!Estimate","Iowa!!Percent occupied housing units!!Margin of Error","Iowa!!Owner-occupied housing units!!Estimate","Iowa!!Owner-occupied housing units!!Margin of Error","Iowa!!Percent owner-occupied housing units!!Estimate","Iowa!!Percent owner-occupied housing units!!Margin of Error","Iowa!!Renter-occupied housing units!!Estimate","Iowa!!Renter-occupied housing units!!Margin of Error","Iowa!!Percent renter-occupied housing units!!Estimate","Iowa!!Percent renter-occupied housing units!!Margin of Error","Minnesota!!Occupied housing units!!Estimate","Minnesota!!Occupied housing units!!Margin of Error","Minnesota!!Percent occupied housing units!!Estimate","Minnesota!!Percent occupied housing units!!Margin of Error","Minnesota!!Owner-occupied housing units!!Estimate","Minnesota!!Owner-occupied housing units!!Margin of Error","Minnesota!!Percent owner-occupied housing units!!Estimate","Minnesota!!Percent owner-occupied housing units!!Margin of Error","Minnesota!!Renter-occupied housing units!!Estimate","Minnesota!!Renter-occupied housing units!!Margin of Error","Minnesota!!Percent renter-occupied housing units!!Estimate","Minnesota!!Percent renter-occupied housing units!!Margin of Error","Nebraska!!Occupied housing units!!Estimate","Nebraska!!Occupied housing units!!Margin of Error","Nebraska!!Percent occupied housing units!!Estimate","Nebraska!!Percent occupied housing units!!Margin of Error","Nebraska!!Owner-occupied housing units!!Estimate","Nebraska!!Owner-occupied housing units!!Margin of Error","Nebraska!!Percent owner-occupied housing units!!Estimate","Nebraska!!Percent owner-occupied housing units!!Margin of Error","Nebraska!!Renter-occupied housing units!!Estimate","Nebraska!!Renter-occupied housing units!!Margin of Error","Nebraska!!Percent renter-occupied housing units!!Estimate","Nebraska!!Percent renter-occupied housing units!!Margin of Error","North Dakota!!Occupied housing units!!Estimate","North Dakota!!Occupied housing units!!Margin of Error","North Dakota!!Percent occupied housing units!!Estimate","North Dakota!!Percent occupied housing units!!Margin of Error","North Dakota!!Owner-occupied housing units!!Estimate","North Dakota!!Owner-occupied housing units!!Margin of Error","North Dakota!!Percent owner-occupied housing units!!Estimate","North Dakota!!Percent owner-occupied housing units!!Margin of Error","North Dakota!!Renter-occupied housing units!!Estimate","North Dakota!!Renter-occupied housing units!!Margin of Error","North Dakota!!Percent renter-occupied housing units!!Estimate","North Dakota!!Percent renter-occupied housing units!!Margin of Error","South Dakota!!Occupied housing units!!Estimate","South Dakota!!Occupied housing units!!Margin of Error","South Dakota!!Percent occupied housing units!!Estimate","South Dakota!!Percent occupied housing units!!Margin of Error","South Dakota!!Owner-occupied housing units!!Estimate","South Dakota!!Owner-occupied housing units!!Margin of Error","South Dakota!!Percent owner-occupied housing units!!Estimate","South Dakota!!Percent owner-occupied housing units!!Margin of Error","South Dakota!!Renter-occupied housing units!!Estimate","South Dakota!!Renter-occupied housing units!!Margin of Error","South Dakota!!Percent renter-occupied housing units!!Estimate","South Dakota!!Percent renter-occupied housing units!!Margin of Error"
"            30 percent or more","110,455","±4,374","8.3%","±0.3","45,698","±2,702","4.8%","±0.3","64,757","±4,363","17.2%","±1.1","173,217","±6,751","7.4%","±0.3","74,455","±3,702","4.4%","±0.2","98,762","±5,600","15.0%","±0.8","67,606","±3,957","8.3%","±0.5","25,418","±2,330","4.7%","±0.4","42,188","±3,490","15.4%","±1.2","25,990","±2,472","7.7%","±0.7","8,770","±1,378","4.1%","±0.6","17,220","±1,952","14.0%","±1.5","31,379","±2,616","8.3%","±0.7","11,995","±1,745","4.6%","±0.7","19,384","±2,334","16.7%","±1.9"
"        $20,000 to $34,999","150,106","±5,849","11.2%","±0.4","80,936","±4,597","8.4%","±0.5","69,170","±3,969","18.3%","±1.1","196,273","±8,133","8.4%","±0.3","101,941","±4,607","6.0%","±0.3","94,332","±6,100","14.4%","±0.9","79,626","±4,129","9.8%","±0.5","37,669","±2,526","7.0%","±0.5","41,957","±3,603","15.3%","±1.3","36,004","±2,925","10.7%","±0.9","13,807","±1,669","6.4%","±0.7","22,197","±2,531","18.1%","±2.0","39,922","±2,850","10.5%","±0.7","19,530","±1,828","7.4%","±0.7","20,392","±2,620","17.6%","±2.1"
"            Less than 20 percent","20,384","±2,115","1.5%","±0.2","17,151","±1,810","1.8%","±0.2","3,233","±767","0.9%","±0.2","22,819","±1,956","1.0%","±0.1","17,011","±1,329","1.0%","±0.1","5,808","±1,476","0.9%","±0.2","10,157","±1,292","1.2%","±0.2","8,248","±1,134","1.5%","±0.2","1,909","±590","0.7%","±0.2","5,736","±1,019","1.7%","±0.3","4,256","±767","2.0%","±0.3","1,480","±633","1.2%","±0.5","6,685","±1,084","1.8%","±0.3","5,171","±1,059","2.0%","±0.4","1,514","±646","1.3%","±0.6"
"            20 to 29 percent","34,657","±2,646","2.6%","±0.2","22,132","±2,153","2.3%","±0.2","12,525","±1,538","3.3%","±0.4","33,730","±2,790","1.4%","±0.1","21,844","±1,713","1.3%","±0.1","11,886","±2,159","1.8%","±0.3","16,827","±2,305","2.1%","±0.3","8,707","±1,259","1.6%","±0.2","8,120","±1,876","3.0%","±0.7","7,678","±1,548","2.3%","±0.5","2,967","±777","1.4%","±0.4","4,711","±1,294","3.8%","±1.0","8,410","±1,494","2.2%","±0.4","4,835","±1,074","1.8%","±0.4","3,575","±1,051","3.1%","±0.9"
"            30 percent or more","95,065","±5,565","7.1%","±0.4","41,653","±3,777","4.3%","±0.4","53,412","±3,798","14.1%","±1.0","139,724","±6,839","6.0%","±0.3","63,086","±3,760","3.7%","±0.2","76,638","±5,195","11.7%","±0.8","52,642","±3,707","6.5%","±0.5","20,714","±2,021","3.8%","±0.4","31,928","±3,101","11.6%","±1.1","22,590","±2,780","6.7%","±0.8","6,584","±1,328","3.1%","±0.6","16,006","±2,515","13.0%","±2.1","24,827","±2,498","6.6%","±0.7","9,524","±1,491","3.6%","±0.6","15,303","±2,217","13.2%","±1.8"
"        $35,000 to $49,999","159,455","±6,280","11.9%","±0.5","99,000","±4,633","10.3%","±0.5","60,455","±4,173","16.0%","±1.0","223,838","±6,829","9.5%","±0.3","131,311","±4,536","7.8%","±0.3","92,527","±5,050","14.1%","±0.7","88,673","±4,185","10.9%","±0.5","44,931","±3,069","8.3%","±0.6","43,742","±3,470","15.9%","±1.2","34,627","±3,240","10.2%","±1.0","18,331","±1,992","8.5%","±0.9","16,296","±2,432","13.3%","±1.9","43,849","±3,399","11.6%","±0.9","26,614","±2,425","10.1%","±0.9","17,235","±1,946","14.9%","±1.7"
"            Less than 20 percent","49,295","±3,077","3.7%","±0.2","39,561","±2,717","4.1%","±0.3","9,734","±1,625","2.6%","±0.4","51,357","±2,826","2.2%","±0.1","43,018","±2,323","2.5%","±0.1","8,339","±1,238","1.3%","±0.2","23,456","±1,912","2.9%","±0.2","17,818","±1,763","3.3%","±0.3","5,638","±1,132","2.1%","±0.4","11,449","±1,563","3.4%","±0.5","8,744","±1,216","4.1%","±0.6","2,705","±817","2.2%","±0.7","15,199","±1,848","4.0%","±0.5","12,502","±1,636","4.8%","±0.6","2,697","±822","2.3%","±0.7"
"            20 to 29 percent","52,852","±3,603","4.0%","±0.3","26,925","±2,380","2.8%","±0.2","25,927","±2,783","6.9%","±0.7","55,540","±3,671","2.4%","±0.2","31,888","±2,352","1.9%","±0.1","23,652","±2,744","3.6%","±0.4","27,644","±2,567","3.4%","±0.3","10,408","±1,324","1.9%","±0.2","17,236","±2,175","6.3%","±0.8","11,751","±1,833","3.5%","±0.5","4,283","±845","2.0%","±0.4","7,468","±1,636","6.1%","±1.3","14,359","±1,926","3.8%","±0.5","6,087","±1,212","2.3%","±0.5","8,272","±1,431","7.1%","±1.3"
"            30 percent or more","57,308","±3,796","4.3%","±0.3","32,514","±2,797","3.4%","±0.3","24,794","±2,800","6.6%","±0.7","116,941","±5,889","5.0%","±0.3","56,405","±3,405","3.3%","±0.2","60,536","±4,635","9.2%","±0.7","37,573","±2,827","4.6%","±0.3","16,705","±1,890","3.1%","±0.3","20,868","±2,458","7.6%","±0.9","11,427","±1,747","3.4%","±0.5","5,304","±1,179","2.5%","±0.5","6,123","±1,451","5.0%","±1.1","14,291","±1,865","3.8%","±0.5","8,025","±1,476","3.1%","±0.6","6,266","±1,273","5.4%","±1.1"
"        $50,000 to $74,999","234,142","±7,303","17.5%","±0.5","167,797","±5,949","17.5%","±0.6","66,345","±4,381","17.6%","±1.1","374,602","±9,682","16.0%","±0.4","251,674","±7,057","14.9%","±0.4","122,928","±7,005","18.7%","±1.0","145,430","±5,612","17.9%","±0.7","89,153","±4,461","16.5%","±0.8","56,277","±4,026","20.5%","±1.4","55,037","±3,681","16.3%","±1.1","30,875","±2,939","14.3%","±1.3","24,162","±2,841","19.7%","±2.2","66,614","±3,985","17.6%","±1.0","46,038","±3,294","17.5%","±1.2","20,576","±2,457","17.8%","±2.0"
"            Less than 20 percent","119,240","±4,634","8.9%","±0.3","89,582","±4,049","9.3%","±0.4","29,658","±2,682","7.9%","±0.7","139,996","±5,463","6.0%","±0.2","113,331","±4,376","6.7%","±0.2","26,665","±2,896","4.1%","±0.4","59,253","±3,672","7.3%","±0.4","41,488","±2,739","7.7%","±0.5","17,765","±2,332","6.5%","±0.8","29,467","±2,474","8.7%","±0.7","17,757","±1,881","8.2%","±0.8","11,710","±2,073","9.5%","±1.6","32,587","±2,696","8.6%","±0.7","22,663","±2,148","8.6%","±0.8","9,924","±1,545","8.6%","±1.4"
"            20 to 29 percent","77,600","±4,358","5.8%","±0.3","49,157","±3,467","5.1%","±0.4","28,443","±3,362","7.5%","±0.9","109,656","±4,970","4.7%","±0.2","60,808","±2,995","3.6%","±0.2","48,848","±3,894","7.4%","±0.6","48,151","±4,158","5.9%","±0.5","24,798","±2,528","4.6%","±0.5","23,353","±2,822","8.5%","±1.0","17,018","±2,493","5.0%","±0.7","6,684","±1,369","3.1%","±0.6","10,334","±2,101","8.4%","±1.7","20,728","±2,185","5.5%","±0.6","12,380","±1,796","4.7%","±0.7","8,348","±1,577","7.2%","±1.3"
"            30 percent or more","37,302","±3,382","2.8%","±0.3","29,058","±2,965","3.0%","±0.3","8,244","±1,369","2.2%","±0.4","124,950","±6,040","5.3%","±0.3","77,535","±3,917","4.6%","±0.2","47,415","±4,416","7.2%","±0.7","38,026","±3,028","4.7%","±0.4","22,867","±2,474","4.2%","±0.4","15,159","±2,061","5.5%","±0.8","8,552","±1,523","2.5%","±0.5","6,434","±1,326","3.0%","±0.6","2,118","±792","1.7%","±0.6","13,299","±2,029","3.5%","±0.5","10,995","±1,625","4.2%","±0.6","2,304","±1,148","2.0%","±1.0"
"        $75,000 or more","632,033","±10,013","47.3%","±0.7","552,614","±8,507","57.6%","±0.8","79,419","±5,464","21.0%","±1.3","1,308,208","±11,848","55.8%","±0.4","1,112,240","±10,748","65.9%","±0.5","195,968","±8,221","29.8%","±1.0","400,533","±5,860","49.2%","±0.7","335,196","±5,437","62.1%","±0.9","65,337","±3,612","23.8%","±1.3","170,834","±4,837","50.5%","±1.3","139,787","±4,268","64.9%","±1.6","31,047","±3,278","25.3%","±2.5","178,911","±4,913","47.3%","±1.3","153,285","±4,772","58.4%","±1.4","25,626","±2,634","22.1%","±2.1"
"            Less than 20 percent","514,392","±8,979","38.5%","±0.7","451,448","±7,762","47.0%","±0.7","62,944","±5,204","16.7%","±1.2","941,558","±10,598","40.2%","±0.4","825,114","±9,725","48.9%","±0.5","116,444","±6,148","17.7%","±0.8","306,028","±5,355","37.6%","±0.7","257,082","±5,003","47.6%","±1.0","48,946","±3,195","17.8%","±1.1","137,263","±4,563","40.6%","±1.3","112,266","±4,033","52.1%","±1.7","24,997","±3,098","20.4%","±2.4","139,149","±4,370","36.8%","±1.1","118,601","±4,106","45.2%","±1.3","20,548","±2,415","17.7%","±2.0"
"            20 to 29 percent","92,550","±4,987","6.9%","±0.4","78,133","±4,151","8.1%","±0.4","14,417","±2,339","3.8%","±0.6","279,027","±8,058","11.9%","±0.3","213,182","±6,099","12.6%","±0.3","65,845","±4,967","10.0%","±0.7","75,733","±4,179","9.3%","±0.5","61,473","±3,924","11.4%","±0.7","14,260","±2,250","5.2%","±0.8","26,898","±3,136","8.0%","±0.9","21,218","±2,305","9.9%","±1.0","5,680","±1,902","4.6%","±1.5","30,400","±2,596","8.0%","±0.7","26,188","±2,446","10.0%","±0.9","4,212","±1,067","3.6%","±0.9"
"            30 percent or more","25,091","±2,625","1.9%","±0.2","23,033","±2,452","2.4%","±0.3","2,058","±855","0.5%","±0.2","87,623","±4,446","3.7%","±0.2","73,944","±4,118","4.4%","±0.2","13,679","±2,054","2.1%","±0.3","18,772","±2,266","2.3%","±0.3","16,641","±2,059","3.1%","±0.4","2,131","±843","0.8%","±0.3","6,673","±1,482","2.0%","±0.4","6,303","±1,471","2.9%","±0.7","370","±391","0.3%","±0.3","9,362","±1,557","2.5%","±0.4","8,496","±1,389","3.2%","±0.5","866","±523","0.7%","±0.5"
"        Zero or negative income","12,067","±2,187","0.9%","±0.2","5,239","±958","0.5%","±0.1","6,828","±1,812","1.8%","±0.5","19,095","±2,283","0.8%","±0.1","7,282","±1,238","0.4%","±0.1","11,813","±1,927","1.8%","±0.3","7,580","±1,736","0.9%","±0.2","3,839","±1,088","0.7%","±0.2","3,741","±1,077","1.4%","±0.4","4,020","±1,551","1.2%","±0.5","993","±405","0.5%","±0.2","3,027","±1,469","2.5%","±1.2","3,845","±974","1.0%","±0.3","2,415","±750","0.9%","±0.3","1,430","±807","1.2%","±0.7"
"        No cash rent","22,562","±1,837","1.7%","±0.1","(X)","(X)","(X)","(X)","22,562","±1,837","6.0%","±0.5","27,723","±2,305","1.2%","±0.1","(X)","(X)","(X)","(X)","27,723","±2,305","4.2%","±0.3","15,330","±1,925","1.9%","±0.2","(X)","(X)","(X)","(X)","15,330","±1,925","5.6%","±0.7","6,729","±1,189","2.0%","±0.4","(X)","(X)","(X)","(X)","6,729","±1,189","5.5%","±1.0","7,614","±1,198","2.0%","±0.3","(X)","(X)","(X)","(X)","7,614","±1,198","6.6%","±1.0"
