"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"        40 to 44 years","211,540","±6,715","6.6%","±0.2","108,437","±4,692","6.8%","±0.3","103,103","±4,009","6.4%","±0.3","381,557","±8,576","6.6%","±0.1","192,073","±5,406","6.7%","±0.2","189,484","±5,205","6.6%","±0.2","133,065","±4,576","6.7%","±0.2","65,200","±3,087","6.6%","±0.3","67,865","±2,935","6.9%","±0.3","49,918","±4,130","6.4%","±0.5","26,302","±2,490","6.6%","±0.6","23,616","±2,694","6.2%","±0.7","56,381","±3,334","6.1%","±0.4","29,854","±2,040","6.4%","±0.4","26,527","±2,507","5.9%","±0.6"
"        45 to 49 years","181,433","±2,755","5.7%","±0.1","93,009","±2,182","5.8%","±0.1","88,424","±1,946","5.5%","±0.1","330,827","±2,900","5.8%","±0.1","169,710","±1,980","5.9%","±0.1","161,117","±2,030","5.6%","±0.1","112,010","±2,335","5.7%","±0.1","57,340","±1,434","5.8%","±0.1","54,670","±1,618","5.5%","±0.2","39,193","±1,710","5.0%","±0.2","21,267","±1,260","5.3%","±0.3","17,926","±1,044","4.7%","±0.3","50,955","±1,988","5.5%","±0.2","25,904","±1,338","5.5%","±0.3","25,051","±1,279","5.6%","±0.3"
"        50 to 54 years","182,933","±2,740","5.7%","±0.1","93,216","±2,110","5.8%","±0.1","89,717","±1,697","5.6%","±0.1","335,035","±3,121","5.8%","±0.1","172,176","±2,290","6.0%","±0.1","162,859","±1,812","5.7%","±0.1","108,450","±1,938","5.5%","±0.1","55,205","±1,265","5.6%","±0.1","53,245","±1,277","5.4%","±0.1","37,670","±1,705","4.8%","±0.2","19,338","±1,020","4.8%","±0.3","18,332","±1,178","4.8%","±0.3","47,699","±1,649","5.2%","±0.2","24,811","±1,192","5.3%","±0.3","22,888","±1,034","5.1%","±0.2"
"        55 to 59 years","182,323","±5,310","5.7%","±0.2","92,003","±3,247","5.7%","±0.2","90,320","±3,219","5.6%","±0.2","338,498","±7,278","5.9%","±0.1","171,982","±4,969","6.0%","±0.2","166,516","±4,835","5.8%","±0.2","102,776","±3,352","5.2%","±0.2","50,929","±2,682","5.1%","±0.3","51,847","±2,115","5.3%","±0.2","39,245","±2,630","5.0%","±0.3","18,383","±1,655","4.6%","±0.4","20,862","±1,756","5.4%","±0.5","55,157","±2,382","6.0%","±0.3","26,364","±1,655","5.6%","±0.4","28,793","±1,660","6.4%","±0.4"
"        60 to 64 years","215,809","±5,326","6.7%","±0.2","104,900","±3,402","6.5%","±0.2","110,909","±3,486","6.9%","±0.2","386,838","±6,969","6.7%","±0.1","191,540","±4,621","6.7%","±0.2","195,298","±4,581","6.8%","±0.2","126,757","±3,834","6.4%","±0.2","64,086","±2,558","6.5%","±0.3","62,671","±2,442","6.4%","±0.2","48,407","±2,574","6.2%","±0.3","25,855","±1,764","6.5%","±0.4","22,552","±1,502","5.9%","±0.4","58,878","±2,497","6.4%","±0.3","31,148","±1,697","6.7%","±0.4","27,730","±1,646","6.1%","±0.4"
"        65 to 69 years","185,799","±4,782","5.8%","±0.1","90,313","±2,823","5.6%","±0.2","95,486","±3,141","6.0%","±0.2","335,437","±5,232","5.8%","±0.1","163,483","±3,655","5.7%","±0.1","171,954","±3,735","6.0%","±0.1","110,984","±3,173","5.6%","±0.2","53,718","±2,070","5.4%","±0.2","57,266","±2,288","5.8%","±0.2","42,634","±2,344","5.4%","±0.3","21,552","±1,424","5.4%","±0.4","21,082","±1,481","5.5%","±0.4","55,645","±2,655","6.1%","±0.3","27,825","±1,905","5.9%","±0.4","27,820","±1,601","6.2%","±0.4"
"        70 to 74 years","159,424","±4,633","5.0%","±0.1","79,060","±2,917","4.9%","±0.2","80,364","±3,017","5.0%","±0.2","271,024","±4,823","4.7%","±0.1","132,791","±3,235","4.6%","±0.1","138,233","±3,597","4.8%","±0.1","90,662","±3,061","4.6%","±0.2","43,141","±1,991","4.3%","±0.2","47,521","±2,021","4.8%","±0.2","35,005","±2,183","4.5%","±0.3","17,506","±1,254","4.4%","±0.3","17,499","±1,466","4.6%","±0.4","47,913","±2,617","5.2%","±0.3","23,852","±1,695","5.1%","±0.4","24,061","±1,780","5.3%","±0.4"
"        75 to 79 years","105,554","±3,534","3.3%","±0.1","47,614","±2,072","3.0%","±0.1","57,940","±2,481","3.6%","±0.2","184,265","±4,971","3.2%","±0.1","85,848","±2,868","3.0%","±0.1","98,417","±3,325","3.4%","±0.1","63,014","±2,512","3.2%","±0.1","28,206","±1,309","2.8%","±0.1","34,808","±2,219","3.5%","±0.2","25,200","±1,832","3.2%","±0.2","12,006","±1,077","3.0%","±0.3","13,194","±1,441","3.4%","±0.4","28,630","±2,227","3.1%","±0.2","13,507","±1,223","2.9%","±0.3","15,123","±1,586","3.4%","±0.4"
"        80 to 84 years","73,086","±3,378","2.3%","±0.1","31,819","±2,009","2.0%","±0.1","41,267","±2,417","2.6%","±0.2","121,372","±4,477","2.1%","±0.1","51,816","±2,470","1.8%","±0.1","69,556","±3,451","2.4%","±0.1","40,083","±2,286","2.0%","±0.1","18,742","±1,485","1.9%","±0.1","21,341","±1,624","2.2%","±0.2","14,172","±1,398","1.8%","±0.2","6,858","±944","1.7%","±0.2","7,314","±1,117","1.9%","±0.3","18,179","±1,852","2.0%","±0.2","8,487","±1,247","1.8%","±0.3","9,692","±1,180","2.1%","±0.3"
"        85 years and over","71,025","±3,141","2.2%","±0.1","25,180","±1,803","1.6%","±0.1","45,845","±2,265","2.9%","±0.1","113,830","±4,108","2.0%","±0.1","42,746","±2,554","1.5%","±0.1","71,084","±2,937","2.5%","±0.1","36,182","±2,596","1.8%","±0.1","13,293","±1,286","1.3%","±0.1","22,889","±1,862","2.3%","±0.2","16,944","±1,629","2.2%","±0.2","5,342","±900","1.3%","±0.2","11,602","±1,240","3.0%","±0.3","19,219","±1,721","2.1%","±0.2","6,607","±1,022","1.4%","±0.2","12,612","±1,352","2.8%","±0.3"
