ZIP,state,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,pctfr1,pctfr2,pctfr3,pctfr4
01104,MA,0,0,0,0,"23,648",5.8,4070.2,0,0,0,0,0.0,0.0,0.0,0.0
01105,MA,0,0,0,0,"14,313",1.6,9175.0,0,0,0,0,0.0,0.0,0.0,0.0
01106,MA,0,0,0,0,"16,215",10.2,1585.0,0,0,0,0,0.0,0.0,0.0,0.0
01107,MA,0,0,0,0,"10,274",1.6,6381.4,0,0,0,0,0.0,0.0,0.0,0.0
01108,MA,0,0,0,0,"24,653",3.5,7043.7,0,0,0,0,0.0,0.0,0.0,0.0
01109,MA,0,0,0,0,"30,778",5.1,5999.6,0,0,0,0,0.0,0.0,0.0,0.0
01118,MA,0,0,0,0,"15,227",3.7,4082.3,0,0,0,0,0.0,0.0,0.0,0.0
01119,MA,0,0,0,0,"12,454",3.8,3294.7,0,0,0,0,0.0,0.0,0.0,0.0
01128,MA,0,0,0,0,"1,847",1.1,1679.1,0,0,0,0,0.0,0.0,0.0,0.0
01129,MA,0,0,0,0,"8,257",3.4,2421.4,0,0,0,0,0.0,0.0,0.0,0.0
01151,MA,0,0,0,0,"7,236",2.6,2783.1,0,0,0,0,0.0,0.0,0.0,0.0
01201,MA,0,0,0,0,"47,626",74.0,643.7,0,0,0,0,0.0,0.0,0.0,0.0
01220,MA,0,0,0,0,"8,779",23.0,381.7,0,0,0,0,0.0,0.0,0.0,0.0
01222,MA,0,0,0,0,724,3.7,198.4,0,0,0,0,0.0,0.0,0.0,0.0
01223,MA,0,0,0,0,"2,131",78.3,27.2,0,0,0,0,0.0,0.0,0.0,0.0
01224,MA,0,0,0,0,252,0.5,494.1,0,0,0,0,0.0,0.0,0.0,0.0
01225,MA,0,0,0,0,"3,574",28.6,125.1,0,0,0,0,0.0,0.0,0.0,0.0
01226,MA,0,0,0,0,"7,095",24.2,292.9,0,0,0,0,0.0,0.0,0.0,0.0
01230,MA,0,0,0,0,"10,419",107.5,96.9,0,0,0,0,0.0,0.0,0.0,0.0
01235,MA,0,0,0,0,"2,797",57.4,48.7,0,0,0,0,0.0,0.0,0.0,0.0
01236,MA,0,0,0,0,660,6.8,96.5,0,0,0,0,0.0,0.0,0.0,0.0
01237,MA,0,0,0,0,"1,909",36.5,52.3,0,0,0,0,0.0,0.0,0.0,0.0
01238,MA,0,0,0,0,"6,458",48.9,132.2,0,0,0,0,0.0,0.0,0.0,0.0
01240,MA,0,0,0,0,"5,299",23.5,225.4,0,0,0,0,0.0,0.0,0.0,0.0
01243,MA,0,0,0,0,250,9.8,25.5,6,6,6,6,2.4,2.4,2.4,2.4
01245,MA,0,0,0,0,505,24.5,20.6,0,0,0,0,0.0,0.0,0.0,0.0
01247,MA,0,0,0,0,"16,653",46.9,354.8,0,0,0,0,0.0,0.0,0.0,0.0
